id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date
1516502970958974979,"$NFLX
$ROKU
$FUBO
$CURI

It's not just about the DAU or user growth but the ongoing explosion of content spending + advertising growth + international expansion.....

Streaming services led by Netflix are helping to push total global content spend past $220 billion in 2021, ....",https://twitter.com/NewsoftheMarket/status/1516502970958974979,0,1,0,0,False,2022-04-19
1516822985298038794,🚨Netflix se hunde en bolsa tras presentar resultados con una pérdida de 200k usuarios en el primer trimestre. Prevé una pérdida de más de 2M de usuarios en el segundo semestre. La compañía esperaba un crecimiento de 5M de usuarios los dos primeros trimestres. https://t.co/873NQHIr3N,https://twitter.com/7nn_Tv/status/1516822985298038794,88,28,255,21,False,2022-04-20
1516562911719735300,Netflix no longer has the market cornered on streaming. Maybe they need to stop offering shows sexualizing little girls.  There’s a start.,https://twitter.com/EastCoastalDB/status/1516562911719735300,0,0,0,0,False,2022-04-19
1516522912672624640,"For the first time in its history, $NFLX reported a subscriber loss (-200,000) vs. an expected gain of 2.7M. The pain doesn't stop there — they expect to lose another 2 million next quarter. That has this streaming stock down more than 25% after hours.

https://t.co/tfqZn0RZV7",https://twitter.com/MarketRebels/status/1516522912672624640,16,13,59,3,False,2022-04-19
1516525391933939715,"Netflix’s video streaming service suffered the first loss in worldwide subscribers in its history, leading to a massive sell-off of its shares
https://t.co/dU1MROOQxC",https://twitter.com/KTLA/status/1516525391933939715,33,41,206,22,False,2022-04-19
1516513591188414482,"Did investors really expect Netflix (already the largest streaming service in the world) to grow indefinitely? And now in an inflationary, post-pandemic, contracting and increasingly saturated market?",https://twitter.com/Cnyari/status/1516513591188414482,1,1,4,0,False,2022-04-19
1516564225589661697,#Netflix $ loss supports my long held theory: one day the oversaturation of streaming market will lead to people preferring a bundling of services at a discount for said bundle -- i.e. cable in position for a comeback if it plays its cards right,https://twitter.com/brooklynsbeat/status/1516564225589661697,1,3,5,0,False,2022-04-19
1516527392193458187,"well, netflix' library is getting worse and the alternatives on the streaming market are getting so much better.. 🤷🏼‍♀️",https://twitter.com/rkandcinema/status/1516527392193458187,0,0,0,0,False,2022-04-19
1516517781503721483,"Netflix projected to lose 2 million subscribers in the current quarter… Lmaoo 

BuT StReAmInG iS TaKiNG OvEr. 🤡🤡🤡🤡🤡",https://twitter.com/iAnonPatriot/status/1516517781503721483,27,10,404,3,False,2022-04-19
1516515048671248384,"Disney should lever to the moon and do a merger with Netflix. Increase streaming market share, spin up merch/retailer capabilities around Netflix IP, and kickstart international expansion. 

Obvious win for everyone involved.",https://twitter.com/itsurboyevan/status/1516515048671248384,0,4,7,1,False,2022-04-19
1516534744565047302,Netflix executives indicate a crackdown on password sharing is coming as streaming service loses subscribers for the first time in a decade. https://t.co/wocOAez8cd,https://twitter.com/MarketWatch/status/1516534744565047302,4,4,11,7,False,2022-04-19
